;contract_type;created_datetime;salary_base;salary_sick_pay;salary_gross;social_security_base;pension_insurance;disability_insurance;sickness_insurance;social_insurance_sum;cost;regular_cost;author_rights_cost;health_insurance_base;tax_base;tax;health_insurance;ppk_tax;tax_advance_payment;salary_deductions;employee_ppk_contribution;net_salary;employer_pension_contribution;employer_disability_contribution;accident_insurance;fp;fgsp;employer_ppk_contribution;total_employer_cost;total_markups;net_ratio;total_markups_ratio
JAN;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
FEB;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
MAR;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
APR;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
MAY;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
JUN;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
JUL;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
AUG;EmploymentContract;2025-11-07 22:55:01;17110.72;0.00;17110.72;17110.72;1670.01;256.66;419.21;2345.88;300;300;0.00;14764.84;14465;1435.80;1328.84;0.00;1436;0.00;0.00;12000.00;1670.01;1112.20;285.75;419.21;17.11;0.00;20615.00;8615.00;58.21;41.79
SEP;EmploymentContract;2025-11-07 22:55:01;21113.32;0.00;21113.32;21113.32;2060.66;316.70;517.28;2894.64;300;300;0.00;18218.68;17919;4578.08;1639.68;0.00;4579;0.00;0.00;12000.00;2060.66;1372.37;352.59;517.28;21.11;0.00;25437.33;13437.33;47.17;52.83
OCT;EmploymentContract;2025-11-07 22:55:01;23382.69;0.00;23382.69;23382.69;2282.15;350.74;572.88;3205.77;300;300;0.00;20176.92;19877;6360.64;1815.92;0.00;6361;0.00;0.00;12000.00;2282.15;1519.87;390.49;572.88;23.38;0.00;28171.46;16171.46;42.60;57.40
NOV;EmploymentContract;2025-11-07 22:55:01;23382.69;0.00;23382.69;23382.69;2282.15;350.74;572.88;3205.77;300;300;0.00;20176.92;19877;6360.64;1815.92;0.00;6361;0.00;0.00;12000.00;2282.15;1519.87;390.49;572.88;23.38;0.00;28171.46;16171.46;42.60;57.40
DEC;EmploymentContract;2025-11-07 22:55:01;23382.69;0.00;23382.69;23382.69;2282.15;350.74;572.88;3205.77;300;300;0.00;20176.92;19877;6360.64;1815.92;0.00;6361;0.00;0.00;12000.00;2282.15;1519.87;390.49;572.88;23.38;0.00;28171.46;16171.46;42.60;57.40
SUMMARY;YearContractService;2025-11-07 22:55:01;228147.15;0.00;228147.15;228147.15;22267.19;3422.20;5589.60;31278.99;3600.0;3600.0;0.00;196868.16;193270.0;35146.40;17718.16;0.00;35150.0;0.00;0.00;144000.00;22267.19;14829.58;3810.06;5589.60;228.13;0.00;274871.71;130871.71;52.39;47.61
